time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone
2025-10-20 00:00:00+00:00,23.3,18.4,268.0,12.8,11.5,72.0
2025-10-20 01:00:00+00:00,23.8,18.6,627.0,23.9,13.1,61.0
2025-10-20 02:00:00+00:00,28.9,23.5,1116.0,38.7,15.4,47.0
2025-10-20 03:00:00+00:00,35.2,30.0,1375.0,46.1,17.9,47.0
2025-10-20 04:00:00+00:00,37.4,31.2,1176.0,38.8,21.1,72.0
2025-10-20 05:00:00+00:00,35.3,24.2,748.0,24.0,24.5,111.0
2025-10-20 06:00:00+00:00,34.0,21.4,415.0,12.2,26.3,143.0
2025-10-20 07:00:00+00:00,31.5,20.8,309.0,7.1,25.3,161.0
2025-10-20 08:00:00+00:00,28.8,20.0,298.0,5.1,22.7,171.0
2025-10-20 09:00:00+00:00,27.9,20.0,315.0,5.1,20.5,174.0
2025-10-20 10:00:00+00:00,27.6,20.0,342.0,7.3,19.7,168.0
2025-10-20 11:00:00+00:00,27.2,19.9,397.0,11.6,19.3,156.0
2025-10-20 12:00:00+00:00,27.9,21.7,460.0,17.2,18.6,138.0
2025-10-20 13:00:00+00:00,29.8,25.2,526.0,24.7,17.0,114.0
2025-10-20 14:00:00+00:00,30.2,25.3,602.0,33.5,15.1,85.0
2025-10-20 15:00:00+00:00,29.9,24.7,686.0,41.1,14.1,61.0
2025-10-20 16:00:00+00:00,30.6,24.9,812.0,47.6,14.8,47.0
2025-10-20 17:00:00+00:00,32.6,26.8,946.0,52.9,16.3,38.0
2025-10-20 18:00:00+00:00,35.6,30.2,990.0,54.4,17.1,33.0
2025-10-20 19:00:00+00:00,36.4,31.1,868.0,49.7,16.4,34.0
2025-10-20 20:00:00+00:00,34.0,28.5,655.0,41.1,14.9,39.0
2025-10-21 00:00:00+00:00,24.6,18.9,347.0,14.0,10.5,59.0
2025-10-21 01:00:00+00:00,24.3,19.2,746.0,23.4,12.2,50.0
2025-10-21 02:00:00+00:00,27.5,23.4,1307.0,35.9,14.6,38.0
2025-10-21 03:00:00+00:00,31.2,28.5,1671.0,41.9,16.9,41.0
2025-10-21 04:00:00+00:00,32.4,29.9,1665.0,35.3,19.3,72.0
2025-10-21 05:00:00+00:00,32.9,27.1,1462.0,22.3,21.6,117.0
2025-10-21 06:00:00+00:00,35.3,26.8,1217.0,11.8,22.4,151.0
2025-10-21 07:00:00+00:00,31.7,24.4,930.0,7.2,20.5,164.0
2025-10-21 08:00:00+00:00,31.2,23.9,602.0,5.1,17.2,166.0
2025-10-21 09:00:00+00:00,31.8,23.6,386.0,4.8,14.8,163.0
2025-10-21 10:00:00+00:00,32.1,23.1,344.0,4.5,13.9,159.0
2025-10-21 11:00:00+00:00,32.0,22.4,415.0,6.0,14.0,149.0
2025-10-21 12:00:00+00:00,33.3,23.8,572.0,14.1,15.5,132.0
2025-10-21 13:00:00+00:00,46.9,39.6,897.0,35.7,19.5,99.0
2025-10-21 14:00:00+00:00,56.5,49.9,1307.0,67.0,23.1,58.0
2025-10-21 15:00:00+00:00,63.8,56.9,1529.0,88.7,28.2,26.0
2025-10-21 16:00:00+00:00,74.7,67.3,1394.0,92.0,34.4,16.0
2025-10-21 17:00:00+00:00,79.2,71.7,1070.0,85.7,40.8,17.0
2025-10-21 18:00:00+00:00,75.7,68.7,791.0,79.0,42.9,19.0
2025-10-21 19:00:00+00:00,65.9,60.5,640.0,76.1,37.0,18.0
2025-10-21 20:00:00+00:00,45.4,41.1,533.0,65.2,20.5,27.0
2025-10-21 21:00:00+00:00,42.1,36.1,453.0,59.0,15.2,35.0
2025-10-21 22:00:00+00:00,42.3,34.7,363.0,42.6,13.8,55.0
2025-10-21 23:00:00+00:00,43.2,33.6,301.0,26.8,15.3,73.0
2025-10-22 00:00:00+00:00,44.1,34.7,360.0,13.9,15.5,88.0
2025-10-22 01:00:00+00:00,43.9,35.0,670.0,21.3,16.7,81.0
2025-10-22 02:00:00+00:00,45.6,37.1,1070.0,31.0,18.3,73.0
2025-10-22 03:00:00+00:00,48.4,41.3,1282.0,35.4,19.2,75.0
2025-10-22 04:00:00+00:00,48.8,39.8,1179.0,29.1,19.0,98.0
2025-10-22 05:00:00+00:00,47.1,36.6,765.0,17.4,18.1,131.0
2025-10-22 06:00:00+00:00,41.4,30.7,489.0,8.2,16.8,155.0
2025-10-22 07:00:00+00:00,34.1,24.6,378.0,4.7,14.7,162.0
2025-10-22 08:00:00+00:00,31.1,23.0,356.0,3.8,12.1,160.0
2025-10-22 09:00:00+00:00,34.3,24.9,361.0,4.2,10.9,155.0
2025-10-22 10:00:00+00:00,29.0,21.9,402.0,4.6,9.7,154.0
2025-10-22 11:00:00+00:00,29.1,22.1,450.0,6.2,9.8,151.0
2025-10-22 12:00:00+00:00,29.9,23.5,553.0,11.6,10.3,141.0
2025-10-22 13:00:00+00:00,35.0,30.4,775.0,24.2,11.1,118.0
2025-10-22 14:00:00+00:00,38.6,35.3,1054.0,40.5,12.3,88.0
2025-10-22 15:00:00+00:00,46.4,41.6,1223.0,52.9,13.4,63.0
2025-10-22 16:00:00+00:00,48.1,42.5,1191.0,58.3,14.4,50.0
2025-10-22 17:00:00+00:00,51.6,44.9,1051.0,60.1,15.2,42.0
2025-10-22 18:00:00+00:00,57.0,49.5,912.0,60.7,15.5,35.0
2025-10-22 19:00:00+00:00,60.8,52.9,810.0,62.1,14.8,25.0
2025-10-22 20:00:00+00:00,59.4,52.4,711.0,62.4,13.5,17.0
2025-10-22 21:00:00+00:00,53.7,48.3,617.0,58.8,12.5,16.0
2025-10-22 22:00:00+00:00,46.3,41.1,484.0,47.0,12.1,30.0
2025-10-22 23:00:00+00:00,40.6,35.4,358.0,31.3,12.1,51.0
2025-10-23 00:00:00+00:00,39.7,34.1,378.0,25.0,12.6,59.0
2025-10-23 01:00:00+00:00,37.5,31.9,711.0,31.0,13.9,57.0
2025-10-23 02:00:00+00:00,39.7,34.0,1191.0,38.9,15.7,56.0
2025-10-23 03:00:00+00:00,43.5,38.0,1462.0,41.5,17.4,65.0
2025-10-23 04:00:00+00:00,46.7,41.1,1314.0,33.8,19.3,93.0
2025-10-23 05:00:00+00:00,49.2,38.6,956.0,20.9,21.1,130.0
2025-10-23 06:00:00+00:00,56.7,35.5,660.0,10.7,21.6,158.0
2025-10-23 07:00:00+00:00,59.3,30.4,518.0,6.2,19.6,168.0
2025-10-23 08:00:00+00:00,53.8,26.9,437.0,4.6,16.2,168.0
2025-10-23 09:00:00+00:00,47.8,24.2,411.0,4.9,13.8,165.0
2025-10-23 10:00:00+00:00,43.2,22.3,426.0,4.6,12.8,163.0
2025-10-23 11:00:00+00:00,39.2,21.2,496.0,6.4,12.7,159.0
2025-10-23 12:00:00+00:00,38.4,23.5,659.0,17.3,14.2,143.0
2025-10-23 13:00:00+00:00,52.2,42.4,979.0,47.3,18.6,107.0
2025-10-23 14:00:00+00:00,64.5,56.3,1392.0,86.4,24.7,59.0
2025-10-23 15:00:00+00:00,76.4,68.0,1738.0,112.6,29.4,25.0
2025-10-24 00:00:00+00:00,36.9,34.2,352.0,57.1,14.3,15.0
2025-10-24 01:00:00+00:00,32.0,29.2,709.0,57.9,16.2,16.0
2025-10-24 02:00:00+00:00,34.5,31.8,1237.0,58.3,18.8,20.0
2025-10-24 03:00:00+00:00,38.9,36.6,1555.0,54.3,21.4,35.0
2025-10-24 04:00:00+00:00,39.1,36.6,1437.0,41.4,24.2,74.0
2025-10-24 05:00:00+00:00,32.4,28.5,1109.0,24.1,26.9,125.0
2025-10-24 06:00:00+00:00,28.5,22.5,829.0,10.9,27.6,164.0
2025-10-24 07:00:00+00:00,30.2,22.2,678.0,5.7,24.5,179.0
2025-10-24 08:00:00+00:00,31.7,22.2,579.0,4.8,19.4,181.0
2025-10-24 09:00:00+00:00,31.2,21.6,531.0,5.3,15.4,178.0
2025-10-24 10:00:00+00:00,29.7,20.6,496.0,3.2,13.4,175.0
2025-10-24 11:00:00+00:00,28.4,19.8,514.0,2.6,12.4,167.0
2025-10-24 12:00:00+00:00,28.1,20.3,710.0,12.8,13.4,149.0
2025-10-24 13:00:00+00:00,44.8,38.6,1258.0,45.1,17.2,110.0
2025-10-24 14:00:00+00:00,56.0,51.1,1899.0,88.3,22.8,59.0
2025-10-24 15:00:00+00:00,62.6,58.0,2491.0,118.3,28.2,23.0
2025-10-24 16:00:00+00:00,71.0,66.4,2625.0,123.3,33.9,13.0
2025-10-24 17:00:00+00:00,75.2,70.3,2541.0,115.1,39.5,16.0
2025-10-24 18:00:00+00:00,71.7,67.1,2310.0,105.3,41.2,20.0
2025-10-24 19:00:00+00:00,66.6,62.9,1869.0,97.6,36.0,18.0
2025-10-25 00:00:00+00:00,28.0,25.3,363.0,36.7,12.5,50.0
2025-10-25 01:00:00+00:00,26.5,23.9,746.0,41.1,13.7,45.0
2025-10-25 02:00:00+00:00,29.6,27.0,1324.0,46.7,15.4,39.0
2025-10-25 03:00:00+00:00,33.9,31.3,1680.0,47.0,16.8,46.0
2025-10-25 04:00:00+00:00,37.5,35.2,1595.0,36.8,17.9,77.0
2025-10-25 05:00:00+00:00,31.0,26.0,1286.0,21.4,18.6,121.0
2025-10-25 06:00:00+00:00,21.4,17.8,991.0,9.5,18.4,154.0
2025-10-25 07:00:00+00:00,18.1,14.7,759.0,5.0,16.5,165.0
2025-10-25 08:00:00+00:00,19.3,15.0,541.0,4.2,13.6,165.0
2025-10-25 09:00:00+00:00,20.1,15.0,420.0,4.5,11.3,162.0
2025-10-25 10:00:00+00:00,20.3,14.7,402.0,4.0,10.0,159.0
2025-10-25 11:00:00+00:00,20.6,14.9,483.0,4.7,9.4,154.0
2025-10-25 12:00:00+00:00,20.9,15.6,732.0,10.1,9.4,141.0
2025-10-25 13:00:00+00:00,26.9,22.4,1366.0,19.7,9.3,115.0
2025-10-25 14:00:00+00:00,30.5,27.6,2168.0,44.8,12.5,82.0
2025-10-25 15:00:00+00:00,29.9,26.4,2561.0,43.2,10.9,61.0
2025-10-25 16:00:00+00:00,31.2,27.6,2161.0,45.7,11.5,53.0
2025-10-25 17:00:00+00:00,32.8,29.0,1353.0,44.1,12.0,53.0
2025-10-25 18:00:00+00:00,32.4,29.6,711.0,52.8,14.2,48.0
2025-10-25 19:00:00+00:00,32.9,28.9,471.0,34.4,11.2,60.0
2025-10-25 20:00:00+00:00,30.9,26.9,397.0,26.3,9.8,67.0
2025-10-25 21:00:00+00:00,28.6,24.8,360.0,19.6,8.8,73.0
2025-10-25 22:00:00+00:00,26.6,23.0,293.0,14.6,8.2,76.0
2025-10-25 23:00:00+00:00,24.8,21.5,263.0,11.0,7.9,79.0
2025-10-26 00:00:00+00:00,24.0,21.0,371.0,11.7,8.3,74.0
2025-10-26 01:00:00+00:00,24.2,21.2,634.0,19.5,9.6,69.0
2025-10-26 02:00:00+00:00,27.0,24.4,986.0,30.0,11.4,62.0
2025-10-26 03:00:00+00:00,31.4,29.6,1179.0,34.8,13.0,66.0
2025-10-26 04:00:00+00:00,31.7,29.3,1062.0,28.6,14.5,90.0
2025-10-26 05:00:00+00:00,29.2,25.8,786.0,16.9,15.9,124.0
2025-10-26 06:00:00+00:00,18.2,16.0,559.0,7.7,16.2,149.0
2025-10-26 07:00:00+00:00,13.4,11.2,456.0,4.4,14.5,157.0
2025-10-26 08:00:00+00:00,12.9,10.5,403.0,3.7,11.7,157.0
2025-10-26 09:00:00+00:00,13.2,10.9,384.0,3.9,9.6,154.0
2025-10-26 10:00:00+00:00,14.1,11.6,405.0,4.1,8.8,152.0
2025-10-26 11:00:00+00:00,15.1,12.4,461.0,5.2,8.6,148.0
2025-10-26 12:00:00+00:00,16.1,13.4,516.0,8.2,8.9,140.0
2025-10-26 13:00:00+00:00,18.2,16.4,567.0,15.0,10.0,125.0
2025-10-26 14:00:00+00:00,20.0,18.6,619.0,23.8,11.5,106.0
2025-10-26 15:00:00+00:00,21.1,19.8,648.0,29.9,12.7,91.0
2025-10-26 16:00:00+00:00,21.3,20.1,647.0,31.6,13.2,82.0
2025-10-26 17:00:00+00:00,21.3,20.3,623.0,30.6,13.4,78.0
2025-10-26 18:00:00+00:00,21.4,20.4,578.0,27.8,13.3,77.0
2025-10-26 19:00:00+00:00,21.7,20.5,497.0,22.3,12.9,83.0
2025-10-27 00:00:00+00:00,29.1,24.9,288.0,6.7,10.5,89.0
2025-10-27 01:00:00+00:00,29.3,24.4,423.0,12.9,11.2,79.0
2025-10-27 02:00:00+00:00,30.6,25.3,609.0,21.5,12.2,64.0
2025-10-27 03:00:00+00:00,32.5,28.1,715.0,25.2,13.0,65.0
2025-10-27 04:00:00+00:00,32.6,26.7,661.0,21.1,13.6,87.0
2025-10-27 05:00:00+00:00,27.8,21.8,526.0,13.1,13.5,120.0
2025-10-27 06:00:00+00:00,25.8,20.7,417.0,6.4,13.0,146.0
2025-10-27 07:00:00+00:00,22.1,17.6,371.0,4.1,11.6,151.0
2025-10-27 08:00:00+00:00,21.6,16.8,350.0,3.5,8.9,149.0
2025-10-27 09:00:00+00:00,21.8,16.8,346.0,3.7,6.9,145.0
2025-10-27 10:00:00+00:00,21.9,17.0,356.0,3.9,6.2,143.0
2025-10-27 11:00:00+00:00,22.1,17.3,384.0,4.8,6.1,139.0
2025-10-27 12:00:00+00:00,23.2,18.9,430.0,7.8,6.7,131.0
2025-10-27 13:00:00+00:00,25.1,21.9,521.0,15.4,8.0,114.0
2025-10-27 14:00:00+00:00,26.8,24.1,631.0,25.1,10.0,93.0
2025-10-28 00:00:00+00:00,34.2,30.6,343.0,7.2,11.0,85.0
2025-10-28 01:00:00+00:00,35.7,31.8,574.0,12.6,12.1,78.0
2025-10-28 02:00:00+00:00,38.6,34.2,877.0,19.9,13.5,71.0
2025-10-28 03:00:00+00:00,41.3,37.1,1036.0,23.4,14.7,72.0
2025-10-28 04:00:00+00:00,44.9,38.1,908.0,19.5,15.5,92.0
2025-10-28 05:00:00+00:00,48.0,39.8,634.0,11.9,15.9,121.0
2025-10-28 06:00:00+00:00,47.0,39.6,423.0,6.0,15.8,144.0
2025-10-28 07:00:00+00:00,44.1,37.0,357.0,3.9,14.6,156.0
2025-10-28 08:00:00+00:00,39.7,31.9,353.0,3.5,12.8,162.0
2025-10-28 09:00:00+00:00,40.5,30.3,371.0,3.8,11.4,164.0
2025-10-28 10:00:00+00:00,43.2,31.0,402.0,4.4,10.9,161.0
2025-10-29 00:00:00+00:00,53.1,47.3,350.0,6.2,15.6,101.0
2025-10-29 01:00:00+00:00,52.2,45.9,508.0,11.2,16.4,92.0
2025-10-29 02:00:00+00:00,53.3,46.7,805.0,17.8,17.4,81.0
2025-10-29 03:00:00+00:00,54.6,48.3,935.0,21.0,17.5,78.0
2025-10-29 04:00:00+00:00,55.8,47.0,811.0,17.5,16.2,92.0
2025-10-29 05:00:00+00:00,49.2,41.7,557.0,10.5,14.1,115.0
2025-10-29 06:00:00+00:00,41.6,36.1,361.0,5.2,11.9,132.0
2025-10-29 07:00:00+00:00,35.0,30.5,296.0,3.4,9.7,136.0
2025-10-29 08:00:00+00:00,28.9,25.7,282.0,3.2,7.4,133.0
2025-10-29 09:00:00+00:00,24.4,22.1,296.0,3.6,5.8,129.0
2025-10-29 10:00:00+00:00,21.0,19.2,321.0,4.1,5.2,125.0
2025-10-29 11:00:00+00:00,18.8,17.4,364.0,5.2,5.3,119.0
2025-10-29 12:00:00+00:00,18.0,16.8,413.0,7.8,5.7,111.0
2025-10-29 13:00:00+00:00,20.2,19.0,477.0,13.4,6.7,97.0
2025-10-29 14:00:00+00:00,22.2,20.7,547.0,20.4,8.0,80.0
2025-10-29 15:00:00+00:00,24.0,21.9,529.0,25.0,9.0,68.0
2025-10-29 16:00:00+00:00,25.8,23.3,533.0,25.4,9.4,64.0
2025-10-29 17:00:00+00:00,27.8,24.8,529.0,23.4,9.5,64.0
2025-10-30 00:00:00+00:00,40.2,35.3,283.0,7.4,9.6,75.0
2025-10-30 01:00:00+00:00,39.5,34.5,528.0,12.6,10.6,68.0
2025-10-30 02:00:00+00:00,40.3,35.2,854.0,19.4,12.0,58.0
2025-10-30 03:00:00+00:00,41.9,37.0,1026.0,22.6,12.9,59.0
2025-10-30 04:00:00+00:00,42.3,34.9,895.0,18.5,13.0,79.0
2025-10-30 05:00:00+00:00,39.9,31.8,611.0,10.8,12.7,108.0
2025-10-30 06:00:00+00:00,31.8,27.4,394.0,4.9,12.1,131.0
2025-10-30 07:00:00+00:00,28.2,25.0,334.0,3.1,11.3,140.0
2025-10-30 08:00:00+00:00,27.3,24.2,341.0,3.1,10.2,143.0
2025-10-30 09:00:00+00:00,27.1,23.9,362.0,3.7,9.5,143.0
2025-10-30 10:00:00+00:00,27.8,24.3,387.0,4.0,9.2,142.0
2025-10-30 11:00:00+00:00,28.3,24.6,427.0,5.0,9.3,138.0
2025-10-30 12:00:00+00:00,29.5,25.7,457.0,8.0,9.7,129.0
2025-10-30 13:00:00+00:00,32.7,29.2,466.0,15.2,10.9,113.0
2025-10-30 14:00:00+00:00,36.1,32.4,465.0,24.4,12.4,92.0
2025-10-30 15:00:00+00:00,38.8,34.8,465.0,30.6,13.6,76.0
2025-10-30 16:00:00+00:00,40.3,36.2,478.0,31.6,14.0,69.0
2025-10-30 17:00:00+00:00,40.0,36.1,492.0,29.6,13.9,66.0
2025-10-30 18:00:00+00:00,39.6,35.9,484.0,26.0,14.0,69.0
2025-10-30 19:00:00+00:00,40.6,37.0,429.0,19.9,14.4,80.0
2025-10-30 20:00:00+00:00,42.1,38.6,352.0,12.3,15.0,95.0
2025-10-30 21:00:00+00:00,43.2,39.3,298.0,6.6,15.4,106.0
2025-10-31 00:00:00+00:00,44.5,39.0,343.0,8.6,14.4,83.0
2025-10-31 01:00:00+00:00,46.6,40.7,772.0,16.7,15.5,73.0
2025-10-31 02:00:00+00:00,50.8,44.5,1341.0,27.5,17.1,62.0
2025-10-31 03:00:00+00:00,54.8,48.9,1645.0,33.0,18.5,61.0
2025-10-31 04:00:00+00:00,58.4,49.7,1425.0,27.9,20.0,83.0
2025-10-31 05:00:00+00:00,65.7,50.3,940.0,17.5,21.5,117.0
2025-10-31 06:00:00+00:00,79.4,50.5,566.0,9.3,21.6,142.0
2025-10-31 07:00:00+00:00,83.6,48.7,457.0,5.9,19.3,150.0
2025-10-31 08:00:00+00:00,76.6,47.4,459.0,4.7,15.6,150.0
2025-10-31 09:00:00+00:00,69.4,45.9,392.0,5.0,12.9,147.0
2025-10-31 10:00:00+00:00,63.3,44.0,472.0,4.4,11.6,145.0
2025-10-31 11:00:00+00:00,59.1,43.1,483.0,5.3,11.3,139.0
2025-10-31 12:00:00+00:00,57.9,44.6,649.0,14.2,12.9,125.0
2025-10-31 13:00:00+00:00,73.1,61.9,1150.0,39.2,17.5,93.0
2025-10-31 14:00:00+00:00,85.4,74.5,1807.0,72.1,24.0,53.0
2025-10-31 15:00:00+00:00,93.1,82.0,2213.0,95.4,30.2,23.0
2025-10-31 16:00:00+00:00,98.3,86.6,2161.0,100.1,36.4,14.0
2025-10-31 17:00:00+00:00,103.8,92.2,1858.0,95.1,42.2,15.0
2025-10-31 18:00:00+00:00,108.5,97.1,1516.0,89.4,44.3,17.0
2025-10-31 19:00:00+00:00,106.2,95.0,1154.0,86.4,39.9,14.0
2025-10-31 20:00:00+00:00,95.5,87.3,754.0,82.5,31.8,11.0
2025-10-31 21:00:00+00:00,81.3,74.7,474.0,76.5,25.0,11.0
2025-11-01 00:00:00+00:00,77.1,70.1,517.0,57.7,15.4,18.0
2025-11-01 01:00:00+00:00,75.4,68.5,940.0,58.4,15.9,14.0
2025-11-01 02:00:00+00:00,79.9,73.1,1504.0,58.8,17.3,9.0
2025-11-01 03:00:00+00:00,85.2,80.1,1835.0,55.3,20.0,17.0
2025-11-01 04:00:00+00:00,86.1,80.6,1709.0,44.3,25.4,49.0
2025-11-01 05:00:00+00:00,82.0,70.5,1351.0,29.3,32.0,94.0
2025-11-01 06:00:00+00:00,82.2,65.7,1054.0,17.4,35.5,131.0
2025-11-01 07:00:00+00:00,81.5,62.4,931.0,11.0,33.1,153.0
2025-11-01 08:00:00+00:00,75.9,58.7,869.0,7.7,27.6,166.0
2025-11-01 09:00:00+00:00,71.2,55.9,831.0,7.5,23.5,174.0
2025-11-01 10:00:00+00:00,68.0,54.1,775.0,9.9,22.8,178.0
2025-11-02 00:00:00+00:00,66.8,61.7,523.0,59.7,17.7,12.0
2025-11-02 01:00:00+00:00,63.1,58.2,912.0,61.0,19.1,10.0
2025-11-02 02:00:00+00:00,67.1,62.4,1549.0,62.1,21.3,9.0
2025-11-02 03:00:00+00:00,72.2,67.8,1761.0,58.4,25.6,20.0
2025-11-02 04:00:00+00:00,71.7,66.8,1634.0,45.4,34.7,54.0
2025-11-02 05:00:00+00:00,62.2,53.9,1282.0,27.6,45.8,101.0
2025-11-02 06:00:00+00:00,46.4,39.1,1502.0,14.0,51.9,139.0
2025-11-02 07:00:00+00:00,40.0,34.1,792.0,8.0,48.4,161.0
2025-11-02 08:00:00+00:00,40.5,34.8,653.0,6.1,39.8,174.0
2025-11-02 09:00:00+00:00,42.4,36.6,567.0,7.0,32.6,178.0
2025-11-02 10:00:00+00:00,44.0,38.1,527.0,10.9,29.5,171.0
2025-11-02 11:00:00+00:00,45.3,39.2,541.0,17.6,27.8,156.0
2025-11-02 12:00:00+00:00,48.4,43.3,580.0,24.9,25.9,135.0
2025-11-02 13:00:00+00:00,52.4,47.6,905.0,33.1,22.9,106.0
2025-11-02 14:00:00+00:00,52.6,47.4,1364.0,42.0,19.6,72.0
2025-11-02 15:00:00+00:00,51.1,45.1,1490.0,48.4,17.2,46.0
2025-11-02 16:00:00+00:00,50.9,44.0,1429.0,51.2,16.3,34.0
2025-11-02 17:00:00+00:00,51.8,44.2,1219.0,51.6,16.3,30.0
2025-11-02 18:00:00+00:00,52.9,44.8,996.0,49.9,15.9,29.0
2025-11-02 19:00:00+00:00,53.0,44.4,777.0,45.5,14.7,30.0
2025-11-02 20:00:00+00:00,51.7,42.5,546.0,38.9,13.2,34.0
2025-11-02 21:00:00+00:00,48.4,39.1,385.0,32.3,11.9,38.0
2025-11-02 22:00:00+00:00,45.1,34.7,300.0,24.6,10.8,44.0
2025-11-03 00:00:00+00:00,42.0,28.8,414.0,11.9,8.5,53.0
2025-11-03 01:00:00+00:00,44.6,29.2,891.0,20.9,10.2,43.0
2025-11-03 02:00:00+00:00,51.3,34.6,1492.0,33.0,12.5,29.0
2025-11-03 03:00:00+00:00,56.5,40.0,1797.0,39.2,14.9,26.0
2025-11-03 04:00:00+00:00,63.3,36.0,1517.0,34.0,17.5,43.0
2025-11-03 05:00:00+00:00,67.1,34.5,941.0,22.9,20.2,71.0
2025-11-03 06:00:00+00:00,68.2,33.1,526.0,13.8,21.5,93.0
2025-11-03 07:00:00+00:00,67.8,31.3,354.0,9.4,20.6,104.0
2025-11-03 08:00:00+00:00,67.3,30.5,424.0,7.0,18.3,110.0
2025-11-03 09:00:00+00:00,68.0,30.6,356.0,6.2,16.5,110.0
2025-11-03 10:00:00+00:00,68.2,30.6,442.0,6.9,15.8,104.0
