timestamp,RandomForest,GradientBoosting,LightGBM,Ensemble_Prediction
2025-10-30 12:00:00+00:00,34.11,34.74,34.28,34.38
2025-10-30 13:00:00+00:00,34.12,35.95,34.85,34.97
2025-10-30 14:00:00+00:00,34.07,35.95,36.25,35.42
2025-10-30 15:00:00+00:00,34.08,35.95,36.5,35.51
2025-10-30 16:00:00+00:00,35.28,35.95,37.19,36.14
2025-10-30 17:00:00+00:00,36.76,36.85,36.53,36.71
2025-10-30 18:00:00+00:00,37.21,35.53,35.18,35.97
2025-10-30 19:00:00+00:00,33.47,34.37,32.95,33.6
2025-10-30 20:00:00+00:00,31.82,32.86,31.9,32.19
2025-10-30 21:00:00+00:00,30.84,32.38,30.82,31.35
2025-10-30 22:00:00+00:00,30.5,32.0,30.42,30.97
2025-10-30 23:00:00+00:00,30.45,31.37,29.77,30.53
2025-10-31 00:00:00+00:00,30.43,31.36,29.89,30.56
2025-10-31 01:00:00+00:00,30.51,31.64,29.98,30.71
2025-10-31 02:00:00+00:00,30.51,32.88,30.81,31.4
2025-10-31 03:00:00+00:00,30.53,34.61,31.43,32.19
2025-10-31 04:00:00+00:00,30.72,35.04,31.8,32.52
2025-10-31 05:00:00+00:00,30.89,35.76,31.74,32.8
2025-10-31 06:00:00+00:00,32.78,38.35,33.86,35.0
2025-10-31 07:00:00+00:00,34.9,39.97,35.64,36.84
2025-10-31 08:00:00+00:00,35.88,41.41,37.85,38.38
2025-10-31 09:00:00+00:00,35.62,41.93,38.01,38.52
2025-10-31 10:00:00+00:00,35.59,40.56,37.05,37.73
2025-10-31 11:00:00+00:00,35.58,39.36,35.96,36.97
2025-10-31 12:00:00+00:00,35.49,37.61,35.77,36.29
2025-10-31 13:00:00+00:00,35.58,37.67,36.21,36.49
2025-10-31 14:00:00+00:00,35.58,37.67,36.43,36.56
2025-10-31 15:00:00+00:00,35.68,37.67,36.25,36.53
2025-10-31 16:00:00+00:00,36.9,37.67,36.64,37.07
2025-10-31 17:00:00+00:00,38.0,38.17,36.58,37.58
2025-10-31 18:00:00+00:00,39.79,36.86,34.88,37.18
2025-10-31 19:00:00+00:00,38.13,34.37,32.61,35.04
2025-10-31 20:00:00+00:00,36.54,33.64,31.68,33.95
2025-10-31 21:00:00+00:00,32.96,32.38,30.61,31.98
2025-10-31 22:00:00+00:00,31.69,32.38,30.33,31.47
2025-10-31 23:00:00+00:00,30.6,32.0,29.91,30.84
2025-11-01 00:00:00+00:00,30.44,31.31,30.03,30.59
2025-11-01 01:00:00+00:00,30.52,31.64,30.13,30.76
2025-11-01 02:00:00+00:00,30.51,32.88,30.94,31.44
2025-11-01 03:00:00+00:00,30.56,34.61,31.56,32.24
2025-11-01 04:00:00+00:00,30.78,35.04,32.01,32.61
2025-11-01 05:00:00+00:00,30.85,35.76,31.87,32.83
2025-11-01 06:00:00+00:00,32.77,38.35,33.91,35.01
2025-11-01 07:00:00+00:00,35.31,39.97,35.64,36.97
2025-11-01 08:00:00+00:00,36.79,41.41,37.85,38.68
2025-11-01 09:00:00+00:00,36.93,41.93,38.01,38.96
2025-11-01 10:00:00+00:00,36.57,40.56,37.05,38.06
2025-11-01 11:00:00+00:00,36.07,39.36,35.96,37.13
2025-11-01 12:00:00+00:00,35.76,37.61,35.77,36.38
2025-11-01 13:00:00+00:00,35.93,37.67,36.21,36.6
2025-11-01 14:00:00+00:00,35.93,37.67,36.43,36.68
2025-11-01 15:00:00+00:00,35.91,37.67,36.25,36.61
2025-11-01 16:00:00+00:00,36.92,37.67,36.64,37.08
2025-11-01 17:00:00+00:00,38.13,38.17,36.58,37.63
2025-11-01 18:00:00+00:00,41.83,36.86,34.88,37.86
2025-11-01 19:00:00+00:00,38.6,34.37,32.61,35.19
2025-11-01 20:00:00+00:00,37.16,33.64,31.68,34.16
2025-11-01 21:00:00+00:00,33.07,32.38,30.61,32.02
2025-11-01 22:00:00+00:00,31.64,32.38,30.33,31.45
2025-11-01 23:00:00+00:00,30.51,32.0,29.91,30.81
2025-11-02 00:00:00+00:00,30.32,31.31,30.03,30.55
2025-11-02 01:00:00+00:00,30.5,31.64,30.04,30.73
2025-11-02 02:00:00+00:00,30.49,32.88,30.86,31.41
2025-11-02 03:00:00+00:00,30.53,34.61,31.56,32.23
2025-11-02 04:00:00+00:00,30.71,35.04,32.01,32.59
2025-11-02 05:00:00+00:00,30.82,35.76,31.87,32.82
2025-11-02 06:00:00+00:00,32.74,38.35,33.91,35.0
2025-11-02 07:00:00+00:00,35.31,39.97,35.64,36.97
2025-11-02 08:00:00+00:00,36.93,41.41,37.85,38.73
2025-11-02 09:00:00+00:00,37.09,41.93,38.01,39.01
2025-11-02 10:00:00+00:00,36.6,40.56,37.05,38.07
2025-11-02 11:00:00+00:00,36.32,39.36,35.96,37.21
2025-11-02 12:00:00+00:00,40.59,42.86,39.8,41.08
2025-11-02 13:00:00+00:00,40.66,41.82,40.84,41.11
2025-11-02 14:00:00+00:00,40.67,40.49,40.96,40.71
2025-11-02 15:00:00+00:00,40.78,40.8,40.93,40.84
2025-11-02 16:00:00+00:00,45.08,49.0,47.6,47.23
2025-11-02 17:00:00+00:00,46.71,50.65,48.02,48.46
2025-11-02 18:00:00+00:00,47.1,50.37,48.13,48.53
2025-11-02 19:00:00+00:00,45.2,49.53,47.53,47.42
2025-11-02 20:00:00+00:00,43.78,48.42,46.09,46.1
2025-11-02 21:00:00+00:00,44.08,48.46,46.17,46.24
2025-11-02 22:00:00+00:00,44.29,48.68,46.43,46.47
2025-11-02 23:00:00+00:00,44.26,48.68,46.4,46.45
2025-11-03 00:00:00+00:00,44.25,48.56,46.37,46.39
2025-11-03 01:00:00+00:00,44.17,48.66,46.31,46.38
2025-11-03 02:00:00+00:00,44.25,50.09,46.58,46.97
2025-11-03 03:00:00+00:00,44.23,50.45,46.64,47.11
2025-11-03 04:00:00+00:00,44.19,50.45,46.75,47.13
2025-11-03 05:00:00+00:00,44.36,51.43,47.02,47.6
2025-11-03 06:00:00+00:00,46.15,52.51,48.78,49.15
2025-11-03 07:00:00+00:00,45.71,52.27,50.18,49.39
2025-11-03 08:00:00+00:00,45.14,50.97,49.33,48.48
2025-11-03 09:00:00+00:00,44.89,51.09,49.1,48.36
2025-11-03 10:00:00+00:00,44.97,50.44,48.72,48.04
2025-11-03 11:00:00+00:00,45.08,49.0,48.62,47.57
2025-11-03 12:00:00+00:00,56.01,60.28,58.8,58.36
